cách chia,train: dòng,train: gian lận,test: dòng,test: gian lận,PR-AUC OOF (train),PR-AUC,PR-AUC ci_low,PR-AUC ci_high,τ*,recall,recall ci_low,recall ci_high,precision,precision ci_low,precision ci_high,TP,FP,FN
ngẫu nhiên 80/20,226980,378,56746,95,0.8531592933169438,0.8252465892005295,0.7470049937945414,0.8959596008923942,0.0232113963839683,0.8105263157894737,0.7368421052631579,0.8842105263157894,0.6695652173913044,0.6,0.7522166034555414,77,38,18
"ngẫu nhiên, train thu nhỏ bằng ngày 1",144236,240,56746,95,0.855344794717864,0.8248702845592487,0.7494608946357433,0.8961165016258864,0.05587891387668536,0.8,0.7260526315789474,0.8736842105263158,0.8260869565217391,0.7477456428391008,0.898876404494382,76,16,19
theo thời gian: ngày 1 → ngày 2,144236,272,139490,201,0.8772747473818386,0.7815590849354637,0.728024444731129,0.8358731714059415,0.023301322013139756,0.835820895522388,0.7860696517412935,0.8855721393034826,0.33201581027667987,0.30544382518014784,0.3593106190997757,168,338,33
