mô hình,accuracy,PR-AUC,ROC-AUC,precision,recall,F1,TP,FP,FN,TN,giây huấn luyện,pr_auc_ci_low,pr_auc_ci_high,threshold,n_test,n_fraud_test
mô hình rỗng,0.9983258731892997,0.0016741268107003137,0.5,0.0,0.0,0.0,0,0,95,56651,0.0,0.0016741268107003137,0.0016741268107003137,0.5,56746,95
logistic_regression,0.9991541254009093,0.6960969005553198,0.9576663764935631,0.8507462686567164,0.6,0.7037037037037037,57,10,38,56641,3.367621900019003,0.5974745799285083,0.7908577004670848,0.5,56746,95
decision_tree,0.9993832164381631,0.6275236005819572,0.8746432682472275,0.8947368421052632,0.7157894736842105,0.7953216374269005,68,8,27,56643,5.945464699994773,0.5215157373354206,0.7369011396912903,0.5,56746,95
