rank,pr_auc_mean,pr_auc_std,pr_auc_train,overfit_gap,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,min_child_weight,fit_seconds
1,0.7436213036726979,0.1840071753792247,0.9728546249502132,0.2292333212775154,675,5,0.010815983055225093,0.7465447373174767,0.6028265220878869,599.0,10,4.45102972984314
2,0.7309082539254231,0.18736184552221935,0.9653041198997082,0.23439586597428508,330,7,0.04768329952832197,0.6225646316108401,0.6399899663272012,10.0,4,2.329325246810913
3,0.7276686448341156,0.16930005345635227,0.9661279835360718,0.23845933870195613,220,5,0.2536999076681772,0.7783331011414365,0.749816047538945,100.0,8,1.3744856357574462
4,0.7174782421205778,0.16198123086834593,0.9905409663865546,0.2730627242659769,360,4,0.24341994231042283,0.8446612641953124,0.8887995089067299,599.0,5,2.1328047275543214
